Date,Input_01,Input_02,Input_03,Input_04,Output
27/08/2000,16.8104,1.5902,1.8293,11.1764,80.7606
28/08/2000,16.0678,1.883,1.8301,11.3039,74.1119
29/08/2000,16.3169,1.5886,1.8353,11.1983,66.4707
30/08/2000,14.802,1.5921,1.829,11.331,63.545
31/08/2000,17.1348,1.6524,1.829,11.0154,62.3846
1/09/2000,16.6885,1.6079,1.8301,11.1779,66.5387
2/09/2000,17.3734,1.5918,1.8314,11.175,76.8502
3/09/2000,16.8798,1.5873,1.8308,11.167,76.9708
4/09/2000,17.5416,1.5808,1.83,11.0484,76.0833
5/09/2000,17.0779,2.0526,1.829,11.2325,73.0352
6/09/2000,16.927,1.6498,1.8305,11.7856,71.1954
7/09/2000,17.6705,1.7304,1.8334,11.5041,76.2795
8/09/2000,17.689,1.7184,1.8308,11.8153,82.8814
9/09/2000,18.2235,1.5901,1.8303,11.3977,84.8542
10/09/2000,17.994,1.5877,1.8294,11.0846,83.1698
11/09/2000,17.8922,1.5838,1.8305,11.3149,86.8559
12/09/2000,17.1353,2.5685,1.9138,10.5833,74.4198
13/09/2000,18.4151,1.9047,1.9036,10.741,63.7982
14/09/2000,18.2622,1.9374,1.8293,10.8676,71.2373
15/09/2000,18.1987,1.5858,1.8492,10.644,72.8018
16/09/2000,18.9626,1.9777,1.8492,10.99,76.3259
17/09/2000,18.3129,1.7699,1.8437,11.0877,77.7307
18/09/2000,17.6577,1.8378,1.8332,10.9652,83.0457
19/09/2000,17.4759,2.2568,1.8363,10.9938,76.8857
20/09/2000,17.6091,2.1151,1.8355,11.2671,68.6882
21/09/2000,18.6223,1.8087,1.8304,11.3544,73.2596
22/09/2000,18.008,1.6472,1.8373,11.2459,75.5199
23/09/2000,17.5003,2.012,1.8309,11.0217,74.8687
24/09/2000,18.2305,1.8268,1.8301,10.7664,72.0809
25/09/2000,18.1819,1.7964,1.8301,10.9607,77.0079
26/09/2000,18.5302,1.6206,1.8304,11.1047,73.7232
27/09/2000,17.0348,2.0616,1.837,10.762,67.8396
28/09/2000,18.7246,1.9851,1.8307,10.7434,70.8133
29/09/2000,18.655,1.7896,1.8309,11.1657,78.1642
30/09/2000,18.7347,1.7511,1.8295,11.0939,81.3755
1/10/2000,19.8053,1.601,1.8334,10.9474,81.8871
2/10/2000,19.2543,2.0176,1.8353,10.5603,74.0153
3/10/2000,17.3989,2.4815,1.8301,10.8205,70.6663
4/10/2000,17.1139,2.1905,1.8304,10.9213,65.8304
5/10/2000,18.0986,1.6021,1.8273,10.9959,71.3447
6/10/2000,17.3959,1.7547,2.0611,10.6641,75.7397
7/10/2000,16.0657,2.7753,2.9911,10.6699,71.9064
8/10/2000,19.3819,2.3853,2.2671,10.2382,70.4254
9/10/2000,19.558,9.6403,1.8324,10.6085,59.4855
10/10/2000,19.9791,2.7566,1.9834,10.6798,65.0794
11/10/2000,18.8375,2.6994,2.1394,10.5415,60.4578
12/10/2000,19.3928,2.101,2.1313,10.5718,70.8726
13/10/2000,19.1815,1.8118,1.8783,10.3451,72.8534
14/10/2000,17.606,2.8826,1.8629,10.4299,75.2405
15/10/2000,18.4372,1.9996,1.8654,10.6607,80.0117
16/10/2000,18.3418,2.31,1.8308,10.4485,83.051
17/10/2000,17.8334,2.5486,1.8393,10.611,74.224
18/10/2000,18.673,1.9604,1.831,10.6464,67.9829
19/10/2000,18.9209,2.4617,1.8159,10.6298,70.152
20/10/2000,19.1533,2.2211,2.0504,10.6624,75.2699
21/10/2000,18.6725,2.2078,1.9807,10.51,78.1897
22/10/2000,18.3623,1.9019,1.8295,10.6579,80.034
23/10/2000,18.7006,2.086,1.8453,10.2152,76.9224
24/10/2000,18.63,2.4774,1.829,10.5615,72.4876
25/10/2000,18.057,1.9884,1.8305,10.805,67.8764
26/10/2000,19.47,1.6649,1.8126,10.7841,71.4542
27/10/2000,19.3957,2.09,1.7964,10.4225,74.8293
28/10/2000,20.057,2.0322,1.82,10.3811,73.824
29/10/2000,18.536,2.0062,1.8296,10.0614,73.7143
30/10/2000,18.4926,1.9903,1.865,10.2588,73.7381
31/10/2000,15.407,1.5947,1.8293,10.3249,72.0138
1/11/2000,15.5516,1.5707,1.83,10.4121,63.7889
2/11/2000,15.9659,1.5709,1.8314,10.5665,62.9147
3/11/2000,15.5309,1.5708,1.8303,10.4375,67.1982
4/11/2000,16.3149,1.5682,1.8192,10.4768,68.813
5/11/2000,15.2707,1.5689,1.7981,10.6483,69.9622
6/11/2000,15.7963,1.5708,1.8315,10.3533,66.9761
7/11/2000,15.0704,1.5714,1.8294,10.2301,60.9792
8/11/2000,14.7028,1.5677,1.8288,10.1245,57.0643
9/11/2000,15.0958,1.5692,1.8303,10.6666,54.2089
10/11/2000,15.8902,1.5703,1.8336,10.4178,60.2034
11/11/2000,16.8732,1.6396,1.8277,10.1949,64.5475
12/11/2000,17.2051,1.5696,1.8149,10.2733,62.3701
13/11/2000,16.5516,1.5677,1.8316,10.0301,60.8703
14/11/2000,17.5484,1.6407,1.8769,9.9231,56.4299
15/11/2000,20.946,2.8463,10.5513,10.1512,42.8407
16/11/2000,19.6514,2.221,2.3055,9.9475,43.4837
17/11/2000,17.6836,1.5894,1.8557,9.9017,52.1702
18/11/2000,16.6443,1.5682,1.8283,9.9227,56.3745
19/11/2000,16.6094,1.5713,1.8129,10.1726,59.8858
20/11/2000,15.856,1.5693,1.8362,10.1753,61.48
21/11/2000,15.739,1.5977,1.8302,10.2362,58.2195
22/11/2000,15.2892,1.5708,1.8294,10.1076,54.8625
23/11/2000,16.2866,1.569,1.8301,10.2296,58.272
24/11/2000,15.3425,1.5698,1.8267,10.0806,60.4775
25/11/2000,15.6688,1.5703,1.8248,9.7981,60.9354
26/11/2000,13.668,1.5746,1.8243,9.8324,58.5364
27/11/2000,15.286,1.5676,1.8401,10.1637,64.0557
28/11/2000,18.2324,1.5678,1.832,9.9256,60.0453
29/11/2000,18.1597,1.5705,1.8302,9.8559,56.797
30/11/2000,18.041,1.7377,1.8037,10.0885,60.7577
1/12/2000,18.638,1.5714,1.7983,10.3423,64.8101
2/12/2000,18.4364,1.5919,1.7968,10.5883,66.0147
3/12/2000,18.3512,1.5699,1.7953,10.3656,68.8859
4/12/2000,18.0788,1.8128,1.8354,10.2628,66.8445
5/12/2000,17.8038,2.0307,1.8296,10.1238,62.4003
6/12/2000,16.8089,1.93,1.8292,10.1286,58.3259
7/12/2000,18.0709,1.7519,1.8316,10.1886,59.0062
8/12/2000,17.8454,1.569,1.8263,10.0715,65.6483
9/12/2000,18.1308,1.7022,1.7986,9.7106,67.5764
10/12/2000,17.9283,1.6406,1.7971,10.0834,66.922
11/12/2000,18.5516,1.5693,1.8081,10.0306,67.0037
12/12/2000,17.1451,2.1479,1.8314,10.1926,65.9027
13/12/2000,17.9826,1.648,1.8251,10.0809,61.8436
14/12/2000,18.0341,1.5685,1.7961,10.0919,61.826
15/12/2000,19.0528,1.8959,1.7974,10.0852,67.4533
16/12/2000,18.7174,1.7816,1.7955,10.4101,66.0818
17/12/2000,18.9904,2.6153,1.7955,10.2003,67.1352
18/12/2000,18.7599,2.3204,1.8314,9.9915,65.4557
19/12/2000,18.5765,2.0336,1.8087,10.1069,63.8288
20/12/2000,18.783,2.1439,1.7953,10.2993,62.6722
21/12/2000,18.4869,2.1424,1.8001,10.1573,62.6133
22/12/2000,19.3953,3.2714,1.8218,10.1822,64.6361
23/12/2000,18.7002,2.3351,1.796,10.1972,65.2298
24/12/2000,19.5162,2.0028,1.8343,10.2129,71.0689
25/12/2000,18.8477,2.0434,1.8338,10.4556,72.6223
26/12/2000,19.4084,2.2719,1.8375,10.5875,70.7875
27/12/2000,17.9926,2.5698,1.8474,10.1913,62.2016
28/12/2000,18.8102,2.1534,1.8202,10.339,65.7666
29/12/2000,19.4915,2.6217,1.7985,10.3567,69.3194
30/12/2000,19.5444,2.2722,1.7985,10.0775,71.2139
31/12/2000,19.3905,2.2262,1.7967,10.6281,71.7974
1/01/2001,18.3752,2.3504,1.7958,10.2713,73.4708
2/01/2001,18.2931,2.7684,1.8078,10.3828,68.3786
3/01/2001,17.6064,2.6892,1.8,10.5892,67.3617
4/01/2001,19.1081,2.3571,1.854,10.2483,68.6108
